segment_type,segment_key,unit_grain,eligible_units,late_units,late_rate,seller_handling_eligible,avg_seller_handling_days,median_seller_handling_days,carrier_transit_eligible,avg_carrier_transit_days,median_carrier_transit_days,avg_promised_window_days,median_promised_window_days,avg_purchase_to_delivery_days,gmv,late_gmv,n_sellers,is_low_sample
product_category,pet_shop,seller_order_category,1697,86,0.050677666470241606,1671,2.8236899270230733,1.8702314814814816,1693,8.160682405493207,6.3893865740740745,23.53918680023571,23.0,11.277146803182086,212658.61,11020.6,136.0,False
product_category,consoles_games,seller_order_category,996,60,0.060240963855421686,984,3.505141241342969,2.1040219907407405,992,9.728144694593787,7.183871527777778,24.794176706827308,24.0,13.605001940632903,147628.76,12529.75,81.0,False
product_category,construction_tools_construction,seller_order_category,742,54,0.07277628032345014,724,2.0581512335021483,1.1887731481481483,742,8.380819934236797,6.3803067129629625,21.921832884097036,22.0,10.820589107891584,144367.59,10739.45,128.0,False
product_category,musical_instruments,seller_order_category,614,46,0.0749185667752443,608,2.8993110189753897,1.9417939814814815,613,9.647223921515316,7.138113425925926,24.44299674267101,24.0,13.038624909518639,191159.14,15765.18,70.0,False
product_category,luggage_accessories,seller_order_category,1016,43,0.04232283464566929,1000,1.688934386574074,1.0739409722222222,1010,8.858237635221856,7.064484953703704,23.38484251968504,23.0,10.84172675843905,139937.48,5480.07,73.0,False
product_category,audio,seller_order_category,346,41,0.11849710982658959,342,2.557845462421486,2.072505787037037,346,10.541878646167843,7.277870370370371,23.291907514450866,23.0,13.48955533477842,50531.51,6581.76,36.0,False
product_category,home_confort,seller_order_category,392,37,0.09438775510204081,387,2.411816411857594,1.854675925925926,389,10.9952842342664,8.06554398148148,23.400510204081634,23.0,13.712452227418746,58572.04,4838.06,20.0,False
product_category,home_appliances,seller_order_category,747,33,0.04417670682730924,735,2.709072515117158,1.7942824074074073,746,8.268143059279119,6.736076388888889,23.850066934404285,23.0,11.311721128340523,80171.53,4508.83,48.0,False
product_category,books_general_interest,seller_order_category,493,32,0.06490872210953347,482,2.7155388667972953,1.8491261574074074,493,8.427854077454736,6.84880787037037,23.305668016194332,23.0,11.54248469311096,46502.49,3423.6,54.0,False
product_category,food,seller_order_category,439,31,0.07061503416856492,431,1.6317490278851938,0.9768518518518519,437,7.837509852529875,5.095219907407407,19.362186788154897,19.0,9.763702939129335,29270.69,1835.7,57.0,False
