seller_id,delivery_eligible_seller_orders,late_seller_orders,seller_late_rate,seller_late_contribution,seller_gmv,seller_late_gmv,is_low_sample
6973a06f484aacf400ece213dbf3d946,89,13,0.14606741573033707,0.0019856422789063695,11011.05,1949.22,False
a673821011d0cec28146ea42f5ab767f,125,13,0.104,0.0019856422789063695,13863.69,1298.95,False
f45122a9ab94eb4f3f8953578bc0c560,184,13,0.07065217391304347,0.0019856422789063695,22078.29,1171.43,False
4b9750c8ad28220fe6702d4ecb7c898f,217,13,0.059907834101382486,0.0019856422789063695,15915.3,1027.75,False
2a1348e9addc1af5aaa619b1a3679d6b,48,13,0.2708333333333333,0.0019856422789063695,2843.0,860.5,False
b1fc4f64df5a0e8b6913ab38803c57a9,107,13,0.12149532710280374,0.0019856422789063695,7994.74,774.92,False
cbd996ad3c1b7dc71fd0e5f5df9087e2,160,13,0.08125,0.0019856422789063695,8411.04,665.02,False
8d956fec2e4337affcb520f56fd8cbfd,210,13,0.06190476190476191,0.0019856422789063695,11015.19,620.23,False
cac4c8e7b1ca6252d8f20b2fc1a2e4af,74,13,0.17567567567567569,0.0019856422789063695,4168.18,534.85,False
e9d99831abad74458942f21e16f33f92,130,13,0.1,0.0019856422789063695,4922.48,467.68,False
53243585a1d6dc2643021fd1853d8905,348,12,0.034482758620689655,0.001832900565144341,222776.05,7316.89,False
ccc4bbb5f32a6ab2b7066a4130f114e3,184,12,0.06521739130434782,0.001832900565144341,74004.62,4256.5,False
edb1ef5e36e0c8cd84eb3c9b003e486d,165,12,0.07272727272727272,0.001832900565144341,79284.55,4093.15,False
900ba814c251a692506d7834c1218441,86,12,0.13953488372093023,0.001832900565144341,29099.69,4078.66,False
76d5af76d0271110f9af36c92573f765,128,12,0.09375,0.001832900565144341,33461.6,3388.35,False
440dd6ab244315c632130ecfb63827b1,91,12,0.13186813186813187,0.001832900565144341,13696.9,1979.0,False
ad781527c93d00d89a11eecd9dcad7c1,38,12,0.3157894736842105,0.001832900565144341,6899.57,1879.88,False
