segment_type,segment_key,segment_sort,eligible_orders,late_orders,late_delivery_rate,reviewed_orders,without_usable_review,review_coverage,negative_review_orders,negative_review_rate,avg_review_score,early_reviewed_orders,early_negative_review_orders,early_negative_review_rate,on_time_reviewed_orders,late_reviewed_orders,late_negative_review_orders,late_negative_review_rate,gmv,multi_category_orders,is_low_sample
product_category,musical_instruments,0,607,46,0.0757825370675453,601,6,0.9901153212520593,69,0.11480865224625623,4.241264559068219,547,36,0.06581352833638025,8,46,32,0.6956521739130435,184300.01,4,False
product_category,small_appliances,0,607,29,0.047775947281713346,599,8,0.9868204283360791,69,0.11519198664440734,4.260434056761269,562,54,0.09608540925266904,9,28,13,0.4642857142857143,182435.01,4,False
product_category,home_confort,0,354,35,0.09887005649717515,349,5,0.9858757062146892,62,0.17765042979942694,3.9398280802292263,311,43,0.1382636655948553,3,35,19,0.5428571428571428,55220.12,12,False
product_category,furniture_living_room,0,408,31,0.07598039215686274,396,12,0.9705882352941176,55,0.1388888888888889,4.070707070707071,363,35,0.09641873278236915,4,29,18,0.6206896551724138,67822.35,10,False
product_category,food,0,435,31,0.07126436781609195,427,8,0.9816091954022989,42,0.09836065573770492,4.334894613583138,384,24,0.0625,13,30,18,0.6,28402.4,2,False
product_category,fixed_telephony,0,212,10,0.04716981132075472,209,3,0.9858490566037735,35,0.1674641148325359,3.9665071770334928,199,28,0.1407035175879397,1,9,7,0.7777777777777778,55394.69,2,False
product_category,air_conditioning,0,245,10,0.04081632653061224,236,9,0.963265306122449,32,0.13559322033898305,4.135593220338983,227,26,0.1145374449339207,0,9,6,0.6666666666666666,53316.66,1,False
product_category,books_general_interest,0,492,32,0.06504065040650407,487,5,0.9898373983739838,30,0.061601642710472276,4.540041067761807,454,16,0.03524229074889868,2,31,14,0.45161290322580644,45269.25,2,False
product_category,market_place,0,268,11,0.041044776119402986,263,5,0.9813432835820896,29,0.11026615969581749,4.1216730038022815,250,24,0.096,2,11,5,0.45454545454545453,27417.97,6,False
product_category,home_appliances_2,0,227,14,0.06167400881057269,219,8,0.9647577092511013,28,0.1278538812785388,4.136986301369863,203,17,0.08374384236453201,2,14,11,0.7857142857142857,107995.85,1,False
product_category,drinks,0,281,15,0.05338078291814947,280,1,0.99644128113879,27,0.09642857142857143,4.246428571428571,261,17,0.06513409961685823,4,15,10,0.6666666666666666,21530.46,2,False
product_category,art,0,192,12,0.0625,189,3,0.984375,25,0.13227513227513227,4.126984126984127,174,18,0.10344827586206896,3,12,7,0.5833333333333334,23598.66,3,False
product_category,books_technical,0,254,21,0.08267716535433071,252,2,0.9921259842519685,24,0.09523809523809523,4.420634920634921,224,17,0.07589285714285714,7,21,7,0.3333333333333333,18710.2,2,False
product_category,construction_tools_safety,0,154,4,0.025974025974025976,153,1,0.9935064935064936,24,0.1568627450980392,4.019607843137255,146,20,0.136986301369863,3,4,4,1.0,38479.61,2,False
product_category,fashion_male_clothing,0,106,5,0.04716981132075472,104,2,0.9811320754716981,24,0.23076923076923078,3.8173076923076925,101,21,0.2079207920792079,0,3,3,1.0,10452.33,0,False
product_category,kitchen_dining_laundry_garden_furniture,0,237,11,0.046413502109704644,232,5,0.9789029535864979,24,0.10344827586206896,4.155172413793103,221,18,0.08144796380090498,0,11,6,0.5454545454545454,45440.34,2,False
product_category,fashion_shoes,0,233,11,0.04721030042918455,225,8,0.9656652360515021,23,0.10222222222222223,4.302222222222222,213,15,0.07042253521126761,3,9,7,0.7777777777777778,22932.66,0,False
product_category,agro_industry_and_commerce,0,177,7,0.03954802259887006,177,0,1.0,22,0.12429378531073447,4.107344632768362,168,16,0.09523809523809523,2,7,6,0.8571428571428571,70566.1,0,False
product_category,industry_commerce_and_business,0,228,16,0.07017543859649122,224,4,0.9824561403508771,22,0.09821428571428571,4.241071428571429,206,15,0.07281553398058252,3,15,6,0.4,37859.71,1,False
product_category,costruction_tools_garden,0,187,10,0.053475935828877004,185,2,0.9893048128342246,21,0.11351351351351352,4.275675675675676,172,16,0.09302325581395349,3,10,4,0.4,25655.23,9,False
product_category,computers,0,177,10,0.05649717514124294,174,3,0.9830508474576272,20,0.11494252873563218,4.224137931034483,163,13,0.07975460122699386,3,8,6,0.75,218761.94,1,False
product_category,construction_tools_lights,0,229,15,0.06550218340611354,224,5,0.9781659388646288,20,0.08928571428571429,4.223214285714286,203,11,0.054187192118226604,6,15,8,0.5333333333333333,38992.43,5,False
product_category,fashion_underwear_beach,0,117,11,0.09401709401709402,114,3,0.9743589743589743,19,0.16666666666666666,3.991228070175439,99,8,0.08080808080808081,4,11,9,0.8181818181818182,9305.95,0,False
product_category,signaling_and_security,0,137,6,0.043795620437956206,134,3,0.9781021897810219,15,0.11194029850746269,4.126865671641791,127,12,0.09448818897637795,2,5,3,0.6,21239.15,0,False
product_category,christmas_supplies,0,125,10,0.08,123,2,0.984,14,0.11382113821138211,4.1138211382113825,112,9,0.08035714285714286,2,9,4,0.4444444444444444,8753.84,1,False
